company_id,status,exchange,ticker,symbol,stored_name,gurufocus_name,detail,gurufocus_url
3451,OK,NYSE,URI,URI,UNITED RENTALS INC,United Rentals Inc,name matches,https://www.gurufocus.com/stock/URI/summary
3452,OK,XSWX,HOLN,XSWX:HOLN,Holcim Ltd,Holcim Ltd,name matches,https://www.gurufocus.com/stock/XSWX:HOLN/summary
3453,OK,NYSE,BE,BE,Bloom Energy Corp,Bloom Energy Corp,name matches,https://www.gurufocus.com/stock/BE/summary
3454,OK,NYSE,COHR,COHR,COHERENT CORP,Coherent Corp,name matches,https://www.gurufocus.com/stock/COHR/summary
3455,OK,NASDAQ,EA,EA,ELECTRONIC ARTS INC,Electronic Arts Inc,name matches,https://www.gurufocus.com/stock/EA/summary
3456,OK,TSE,9433,TSE:9433,KDDI CORP,KDDI Corp,name matches,https://www.gurufocus.com/stock/TSE:9433/summary
3457,OK,TSE,6981,TSE:6981,Murata Manufacturing Co Ltd,Murata Manufacturing Co Ltd,name matches,https://www.gurufocus.com/stock/TSE:6981/summary
3458,OK,NYSE,PSA,PSA,Public Storage,Public Storage,name matches,https://www.gurufocus.com/stock/PSA/summary
3459,OK,NYSE,CMG,CMG,CHIPOTLE MEXICAN GRILL INC,Chipotle Mexican Grill Inc,name matches,https://www.gurufocus.com/stock/CMG/summary
3460,OK,HKSE,03988,HKSE:03988,Bank Of China Ltd,Bank Of China Ltd,name matches,https://www.gurufocus.com/stock/HKSE:03988/summary
3461,OK,NYSE,SNOW,SNOW,SNOWFLAKE INC,Snowflake Inc,name matches,https://www.gurufocus.com/stock/SNOW/summary
3462,OK,TPE,3711,TPE:3711,ASE Technology Holding Co Ltd,ASE Technology Holding Co Ltd,name matches,https://www.gurufocus.com/stock/TPE:3711/summary
3463,OK,XTER,BAYN,XTER:BAYN,BAYER AG,Bayer AG,name matches,https://www.gurufocus.com/stock/XTER:BAYN/summary
3464,OK,NASDAQ,XEL,XEL,XCEL ENERGY INC,Xcel Energy Inc,name matches,https://www.gurufocus.com/stock/XEL/summary
3465,OK,NYSE,ROK,ROK,ROCKWELL AUTOMATION INC,Rockwell Automation Inc,name matches,https://www.gurufocus.com/stock/ROK/summary
3466,OK,NYSE,YUM,YUM,YUM BRANDS INC,Yum Brands Inc,name matches,https://www.gurufocus.com/stock/YUM/summary
3467,OK,NASDAQ,FITB,FITB,FIFTH THIRD BANCORP,Fifth Third Bancorp,name matches,https://www.gurufocus.com/stock/FITB/summary
3468,OK,XTER,MBG,XTER:MBG,Mercedes-Benz Group AG,Mercedes-Benz Group AG,name matches,https://www.gurufocus.com/stock/XTER:MBG/summary
3469,OK,NYSE,BDX,BDX,Becton Dickinson & Co,Becton Dickinson & Co,name matches,https://www.gurufocus.com/stock/BDX/summary
3470,OK,NYSE,CBRE,CBRE,CBRE Group Inc,CBRE Group Inc,name matches,https://www.gurufocus.com/stock/CBRE/summary
3471,OK,NYSE,WAB,WAB,Westinghouse Air Brake Technologies Corp,Westinghouse Air Brake Technologies Corp,name matches,https://www.gurufocus.com/stock/WAB/summary
3472,OK,NASDAQ,ALNY,ALNY,ALNYLAM PHARMACEUTICALS INC,Alnylam Pharmaceuticals Inc,name matches,https://www.gurufocus.com/stock/ALNY/summary
3473,OK,OSTO,SAND,OSTO:SAND,Sandvik AB,Sandvik AB,name matches,https://www.gurufocus.com/stock/OSTO:SAND/summary
3474,OK,NYSE,GRMN,GRMN,GARMIN LTD,Garmin Ltd,name matches,https://www.gurufocus.com/stock/GRMN/summary
3475,OK,NASDAQ,PYPL,PYPL,PAYPAL HOLDINGS INC,PayPal Holdings Inc,name matches,https://www.gurufocus.com/stock/PYPL/summary
3476,RESTRICTED,LSE,CPG,LSE:CPG,COMPASS GROUP PLC,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/LSE:CPG/summary
3477,OK,NASDAQ,EBAY,EBAY,EBAY INC,eBay Inc,name matches,https://www.gurufocus.com/stock/EBAY/summary
3478,OK,XTER,RWE,XTER:RWE,RWE AG,RWE AG,name matches,https://www.gurufocus.com/stock/XTER:RWE/summary
3479,RESTRICTED,LSE,SSE,LSE:SSE,SSE PLC,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/LSE:SSE/summary
3480,OK,TSE,2914,TSE:2914,JAPAN TOBACCO INC,Japan Tobacco Inc,name matches,https://www.gurufocus.com/stock/TSE:2914/summary
3481,OK,XKRX,402340,XKRX:402340,SK Square,SK Square,name matches,https://www.gurufocus.com/stock/XKRX:402340/summary
3482,RESTRICTED,LSE,TSCO,LSE:TSCO,TESCO PLC,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/LSE:TSCO/summary
3483,OK,NYSE,NUE,NUE,NUCOR CORP,Nucor Corp,name matches,https://www.gurufocus.com/stock/NUE/summary
3484,OK,NYSE,CARR,CARR,CARRIER GLOBAL CORP,Carrier Global Corp,name matches,https://www.gurufocus.com/stock/CARR/summary
3485,OK,TSE,6752,TSE:6752,PANASONIC HOLDINGS CORP,Panasonic Holdings Corp,name matches,https://www.gurufocus.com/stock/TSE:6752/summary
3486,OK,NYSE,MET,MET,METLIFE INC,MetLife Inc,name matches,https://www.gurufocus.com/stock/MET/summary
3487,OK,SAU,2222,SAU:2222,Saudi Arabian Oil Co,Saudi Arabian Oil Co,name matches,https://www.gurufocus.com/stock/SAU:2222/summary
3488,OK,TSE,5802,TSE:5802,SUMITOMO ELECTRIC INDUSTRIES LTD,Sumitomo Electric Industries Ltd,name matches,https://www.gurufocus.com/stock/TSE:5802/summary
3489,OK,NASDAQ,COIN,COIN,Coinbase Global Inc,Coinbase Global Inc,name matches,https://www.gurufocus.com/stock/COIN/summary
3490,RESTRICTED,LSE,DGE,LSE:DGE,DIAGEO PLC,,403 unsubscribed/restricted region,https://www.gurufocus.com/stock/LSE:DGE/summary
